NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,ANNUAL_SALES,AVERAGE_CHECK,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,"% Share of F&B Purchases from Company",Percentage_Range
"PANDA EXPRESS",BEAVERTON,OR,97008,7677,41067,WASHINGTON,6442,"LSR - QUICK CASUAL","OTHER ASIAN","ASIAN UNCLASSIFIED","501+ UNITS","10 TO 19","$1,000,001 - $2,500,000","$5 TO $7",381045.7134,342603.501468432,38442.2119315683,61588.8982692004,58415.8903002455,64883.9450061919,125903.329024554,0.608890052572533,">50% & <70%"
STARBUCKS,BEAVERTON,OR,97008,7695,41067,WASHINGTON,6442,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,"COFFEE / TEA","501+ UNITS","10 TO 19","$500,001 - $1,000,000","UNDER $5",182285.6448,127417.6657152,54867.9790848,49217.124096,23514.8481792,21874.277376,0,0.9082032510965907,>90%
"ESAN THAI RESTAURANT",PORTLAND,OR,97210,2205,41051,MULTNOMAH,6442,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","OTHER ASIAN",THAI,"INDEPENDENT (1-9 UNITS)","5 TO 9","<=$500,000","$15 TO $20",74827.7194427475,70261.0531315784,4566.66631116906,11222.4313885062,14494.2017702322,10419.5959122515,27771.201366788,0.4537643945725234,<50%
"JIMMY JOHN'S GOURMET SANDWICH SHOP",HENDERSONVILLE,TN,37075,6932,47165,SUMNER,5360,"LSR - QUICK CASUAL","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,"501+ UNITS","10 TO 19","$500,001 - $1,000,000","$5 TO $7",212202.2142,189165.787548332,23036.4266516677,25173.1386889239,29780.4240192574,40909.1325466331,75408.1289814978,0.031832476142805266,<50%
"THEBROWNSTONE COFFEE HOUSE",BOLIVAR,TN,38008,2321,47069,HARDEMAN,NULL,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,"COFFEE / TEA","INDEPENDENT (1-9 UNITS)","10 TO 19","$500,001 - $1,000,000","UNDER $5",148947.8718,104114.5623882,44833.3094118,40215.925386,19214.2754622,17873.744616,0,0.03629922263320029,<50%
"MURPHY'S DELI",HOUSTON,TX,77010,2044,48201,HARRIS,3362,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,"51-100 UNITS","5 TO 9","<=$500,000","$7 TO $10",150267.6117,128613.874978826,21653.7367211738,24127.4251876655,22621.7017732793,32946.6623290707,31673.9675383395,0.8168583096319253,">70% & <90%"
"PIZZA HUT",CROSBY,TX,77532,5128,48201,HARRIS,3362,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,"501+ UNITS","10 TO 19","$500,001 - $1,000,000","$7 TO $10",212382.5994,173847.618832844,38534.9805671556,37180.4997036352,20317.2129528061,44246.374875,39889.461430676,0.3387221335851932,<50%
"VERITAS WINE & BISTRO LLC","COLLEGE STATION",TX,77840,2266,48041,BRAZOS,1260,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","OTHER ASIAN","ASIAN UNCLASSIFIED","INDEPENDENT (1-9 UNITS)","10 TO 19","$500,001 - $1,000,000","$15 TO $20",183819.014027396,172600.710102559,11218.3039248376,27568.6107793741,35605.9211527455,25596.3947774651,68221.7083671128,0.3954282946041717,<50%
"THE ITALIAN CHEF",UTICA,NY,13501,4055,36065,ONEIDA,8680,"FSR - UPSCALE CASUAL DINING RESTAURANTS","PIZZA, PASTA & ITALIAN","ITALIAN - PIZZA & PASTA","INDEPENDENT (1-9 UNITS)","1 TO 4","<=$500,000","$30 TO $50",41596.7171821712,38325.2333706973,3271.48381147396,5455.79769779347,8448.00850097087,8073.9821505737,12856.5324176522,0.3168932550845587,<50%
"TAM DELI & CAFE",AUSTIN,TX,78753,5975,48453,TRAVIS,640,"LSR - DELIVERY AND TAKE AWAY ONLY","OTHER ASIAN",VIETNAMESE,"INDEPENDENT (1-9 UNITS)","5 TO 9","<=$500,000","$7 TO $10",66558.8178,58266.0073482124,8292.81045178765,9424.95935694475,7643.80789469122,12590.6496076706,21936.2864298592,0.41348554359520984,<50%
"ROCKY ROCOCO","WISCONSIN RAPIDS",WI,54494,5271,55141,WOOD,NULL,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,"10-50 UNITS","10 TO 19","<=$500,000","$5 TO $7",132733.728,108650.344316327,24083.3836836735,23236.8675612245,12697.7418367347,27652.86,24929.8998061224,0.6351798204523933,">50% & <70%"
SUBWAY,PARAGOULD,AR,72450,2604,5055,GREENE,NULL,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,"501+ UNITS","1 TO 4","<=$500,000","$5 TO $7",126446.4108,108225.336692115,18221.074107885,20302.6206533222,19035.592321317,27723.7865979244,26652.8459839676,0.17524820980881617,<50%
"BURGER KING",MILWAUKEE,WI,53226,1409,55079,MILWAUKEE,5082,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,"501+ UNITS","10 TO 19","$1,000,001 - $2,500,000","$5 TO $7",367477.9488,307753.597795373,59724.3510046272,57625.0768041131,31489.1130077121,68576.2905501285,100135.379364524,0.5712113998910967,">50% & <70%"
"UNCLE REDS PIZZERIA",BELLFLOWER,CA,90706,2278,6037,"LOS ANGELES",4472,"LSR - QUICK CASUAL","PIZZA, PASTA & ITALIAN",PIZZERIA,"INDEPENDENT (1-9 UNITS)","10 TO 19","$500,001 - $1,000,000","$7 TO $10",184035.437543129,169322.411223892,14713.0263192375,29776.3627889331,24521.7105320626,32000.8322443416,54298.0733209957,0.8184681851417873,">70% & <90%"
"CRISPY CRUST","SHERMAN OAKS",CA,91403,0,6037,"LOS ANGELES",4472,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN","ITALIAN - PIZZA & PASTA","INDEPENDENT (1-9 UNITS)","10 TO 19","$500,001 - $1,000,000","$15 TO $20",223842.998840586,207377.315983509,16465.6828570774,30389.0452730188,37160.6464480073,30888.0053595969,86034.9749285387,0.29612961974986585,<50%
"ROLLING RICE",ROSEMEAD,CA,91770,2053,6037,"LOS ANGELES",4472,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","OTHER ASIAN",JAPANESE,"INDEPENDENT (1-9 UNITS)","10 TO 19","$500,001 - $1,000,000","$15 TO $20",189801.617472072,178218.200808168,11583.4166639047,28465.8632572328,36764.7572376107,26429.4591934462,70442.0631527062,0.3595001739685174,<50%
HAAGEN-DAZS,CARLSBAD,CA,92008,4461,6073,"SAN DIEGO",7320,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS","FROZEN DESSERT","ICE CREAM / DAIRY","101-250 UNITS","5 TO 9","<=$500,000","UNDER $5",102634.0518,84057.2884242,18576.7633758,14368.767252,13239.7926822,37974.599166,0,0.7957309824382188,">70% & <90%"
"REDBRICK PIZZA",FONTANA,CA,92336,1244,6071,"SAN BERNARDINO",4472,"LSR - QUICK CASUAL","PIZZA, PASTA & ITALIAN",PIZZERIA,"10-50 UNITS","10 TO 19","$500,001 - $1,000,000","$7 TO $10",267712.982344925,246310.212270713,21402.7700742112,43315.129912094,35671.2834570186,46551.0249114093,78986.4133691126,0.027162510887760782,<50%
MIYAKO,IRVINE,CA,92606,5108,6059,ORANGE,4472,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","OTHER ASIAN",JAPANESE,"INDEPENDENT (1-9 UNITS)","5 TO 9","<=$500,000","$15 TO $20",121879.065749498,114440.899415686,7438.16633381224,18279.0477012399,23608.0931464475,16971.3927503051,45233.6126576068,0.6789835613028146,">50% & <70%"
